id_gpa;id_name_gpa;num_gpa;id_shop;id_agr_state;inv_num_gpa;full_num_gpa;id_cbn_type;mtrPlaceName;id_mtrPlaceType;id_ks;kod_kor;kod_sor;name_sor
1;17;1;1;2;138482;11;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC01-GP01;КС Ямбургская, цех №1, ГПА-1
2;17;2;1;2;138540;12;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC01-GP02;КС Ямбургская, цех №1, ГПА-2
3;17;3;1;2;138541;13;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC01-GP03;КС Ямбургская, цех №1, ГПА-3
4;17;4;1;2;138542;14;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC01-GP04;КС Ямбургская, цех №1, ГПА-4
5;17;5;1;2;138543;15;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC01-GP05;КС Ямбургская, цех №1, ГПА-5
6;17;1;2;2;138533;21;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC02-GP01;КС Ямбургская, цех №2, ГПА-1
7;17;2;2;2;138534;22;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC02-GP02;КС Ямбургская, цех №2, ГПА-2
8;17;3;2;2;138535;23;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC02-GP03;КС Ямбургская, цех №2, ГПА-3
9;17;4;2;2;138536;24;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC02-GP04;КС Ямбургская, цех №2, ГПА-4
10;17;5;2;2;138537;25;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC02-GP05;КС Ямбургская, цех №2, ГПА-5
11;17;1;3;2;138554;31;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC03-GP01;КС Ямбургская, цех №3, ГПА-1
12;17;2;3;2;138555;32;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC03-GP02;КС Ямбургская, цех №3, ГПА-2
13;17;3;3;2;138556;33;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC03-GP03;КС Ямбургская, цех №3, ГПА-3
14;17;4;3;2;138557;34;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC03-GP04;КС Ямбургская, цех №3, ГПА-4
15;17;5;3;2;138558;35;22;;6;;GT_MG_KS_KC_GPA;GTYGK-T28-KS1-KC03-GP05;КС Ямбургская, цех №3, ГПА-5
