id_group_name;group_name;id_type_gpa;group_name_gcr;numInObjectPlan
1;ГТ-750-6;1;ГТ-750-6;1
2;ГТ-6-750;1;ГТ-6-750, ГТН-6;2
3;ГТК-10-4;1;ГТК-10-4;3
4;ГТН-16;1;ГТН-16;4
5;ГТН-25/76;1;ГТН-25-76;5
6;PGT-10;1;PGT-10;6
7;ГТК-10И;1;ГТК-10И;7
8;ГТК-25И;1;ГТК-25И;8
10;ГПА-Ц-16;2;ГПА-Ц-16;2
11;ГПА-12/16 "Урал";2;ГПА-16'Урал';3
13;ГПУ-10;3;ГПУ-10;2
14;ГПУ-16;3;ГПУ-16;3
15;ГПА-Ц1-16С;3;ГПА-Ц-16С;4
16;ГПА-25ДН80;3;ГПА-25_76ДН80Л;5
17;ТКА-П-8,4/10;2;ГПА-Ц-6,3;4
18;THM-1203;1;ТНМ-1203;9
20;ТХА-Ц-8Б/0,233-0,965;3;ТХА-Ц-8Б-0,233-0,965;6
