id_ks;ks_name;id_lpu;id_ks_ius;ks_sort;rk
1;КС Ямбургская;1;1;1;
2;КС Ныдинская;2;2;2;
3;КС Уренгойская;3;13;3;
4;КС Пуровская;3;3;4;
5;КС Пангодинская;4;14;5;
6;КС Хасырейская;4;4;7;
7;ЦДКС ;4;34;6;
8;КС Правохеттинская;5;5;8;
9;КС Ягельная;6;6;9;
10;КС Приозерная;7;7;10;
11;КС Надымская;8;15;11;
12;КС Лонг-Юганская;9;16;12;
13;КС Сосновская;10;8;16;
14;КС Сорумская;11;17;13;
15;КС Верхнеказымская;12;9;17;
16;КС Казымская;13;18;14;
17;КС Бобровская;14;10;18;
18;КС Октябрьская;15;11;19;
19;КС Перегребненская;16;19;15;
20;КС Таежная;17;12;23;
21;КС Пунгинская;18;20;20;
22;КС Сосьвинская;19;21;21;
23;КС Приполярная;20;22;22;
24;КС Ужгородская;21;25;26;
25;КС Узюм-Юганская;21;23;24;
26;КС Комсомольская;21;24;25;
27;КС Новокомсомольская;21;35;27;
28;КС Пелымская;22;26;28;
29;КС Ново-Пелымская;22;27;29;
30;КС Ивдельская;23;28;30;
31;КС Ново-Ивдельская;23;29;31;
32;КС Краснотурьинская;24;30;32;
33;КС Карпинская;25;31;33;
34;КС Нижнетуринская;26;32;34;
35;КС Лялинская;26;33;35;
