id_lpu;lpu_name;id_ptu
1;ЛПУ МГ Ямбургское;1
2;ЛПУ МГ Ныдинское;1
3;ЛПУ МГ Ново-Уренгойское;1
4;ЛПУ МГ Пангодинское;1
5;ЛПУ МГ Правохеттинское;1
6;ЛПУ МГ Ягельное;1
7;ЛПУ МГ Приозерное;1
8;ЛПУ МГ Надымское;1
9;ЛПУ МГ Лонг-Юганское;1
10;ЛПУ МГ Сосновское;2
11;ЛПУ МГ Сорумское;2
12;ЛПУ МГ Верхнеказымское;2
13;ЛПУ МГ Казымское;2
14;ЛПУ МГ Бобровское;2
15;ЛПУ МГ Октябрьское;2
16;ЛПУ МГ Перегребненское;2
17;ЛПУ МГ Таежное;3
18;ЛПУ МГ Пунгинское;3
19;ЛПУ МГ Сосьвинское;3
20;ЛПУ МГ Уральское;3
21;ЛПУ МГ Комсомольское;3
22;ЛПУ МГ Пелымское;3
23;ЛПУ МГ Ивдельское;3
24;ЛПУ МГ Краснотурьинское;3
25;ЛПУ МГ Карпинское;3
26;ЛПУ МГ Нижнетуринское;3
