id_name_gpa;gpa_name;id_group_name
1;ГТ-750-6;1
2;ГТ-6-750;2
3;ГТК-10-4;3
4;ГТК-10М;3
5;ГТН-16;4
6;ГТН-16М1;4
7;ГТН-25/76;5
8;PGT-10;6
9;ГТК-10АЕГ;7
10;ГТК-25И;8
11;ГТК-25ИРАЕ;8
12;ГТК-25АЕГ;8
13;ГТК-25ДБ;8
14;ГТК-25ИРДБ;8
15;ГТНР-25И;8
17;ГПА-Ц-16;10
18;ГПА-Ц-16РН;10
19;ГПА-Ц-16РС;10
20;ГПА-12Р Урал;11
21;ГПА-12/16РТ Урал;11
22;ГПА-16Р Урал;11
23;ГПА-16 Урал;11
25;ГПА-10;13
26;ГПА-10-01;13
27;ГПУ-16;14
28;ГПА-Ц1-16С;15
29;ГПА-16 Волга;15
30;ГПА-25Днепр;16
31;ГПА-25ДН Урал;16
32;ТКА-П-8,4/10;17
33;THM-1203;18
34;ГПА-16 Арлан;10
35;ГПА-25ДН80 А-Г;16
36;ТХА-Ц-8Б/0,233-0,965;20
37;ГПА 16-ПХГ "Урал";14
